0:00:00.119881004 ::: s22_client [INFO] > S22 update : Unknown (f6) [d0, 7, 0, 0, 0, 0, 79, 47, 0, 0, 52, 0, 0, 0] [14, 5a, 5a]
0:00:00.179846081 ::: s22_client [INFO] > S22 update : Unknown (c9) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [14, 5a, 5a]
0:00:00.276584728 ::: s22_client [INFO] > S22 update : Unknown (f1) [53, f, 50, f, 0, 0, 0, 0, 9b, b, 0, 0, 0, 0] [6, 5a, 5a]
0:00:00.736746326 ::: s22_client [INFO] > S22 update : Unknown (f2) [cd, 2d, 0, 0, c4, 2, e8, 3, 0, 0, e8, 3, 4a, f] [0, 5a, 5a]
0:00:01.216746266 ::: s22_client [INFO] > S22 update : Unknown (f2) [8a, b, 8e, b, 8c, b, 94, b, ad, b, 8f, b, 9b, b] [1, 5a, 5a]
0:00:01.736425068 ::: s22_client [INFO] > S22 update : Unknown (f2) [48, f, 4a, f, 4a, f, 4a, f, 4a, f, 4a, f, 4a, f] [2, 5a, 5a]
0:00:02.196355311 ::: s22_client [INFO] > S22 update : Unknown (f2) [4a, f, 4b, f, 4a, f, 4a, f, 4b, f, 4a, f, 4a, f] [3, 5a, 5a]
0:00:02.676636005 ::: s22_client [INFO] > S22 update : Unknown (f2) [4a, f, 3f, f, 3f, f, 3f, f, 3f, f, 3f, f, 3f, f] [4, 5a, 5a]
0:00:03.156424600 ::: s22_client [INFO] > S22 update : Unknown (f2) [3f, f, 3f, f, 3d, f, 3f, f, 3d, f, 3f, f, 40, f] [5, 5a, 5a]
0:00:03.636485352 ::: s22_client [INFO] > S22 update : Unknown (f2) [40, f, 3f, f, 0, 0, 0, 0, 9c, b, 0, 0, 0, 0] [6, 5a, 5a]
0:00:04.136557023 ::: s22_client [INFO] > S22 update : Unknown (f3) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 5a, 5a]
